#NSGA2
popsize 50
maxGen 500
numVar 30
numObj 2
numCons 0
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 500
currentGen	1
evaluateCount	50
totalTime	0.132677
firstFrontCount	8
frontCount	9
avgEvalTime	7.22396e-05
#end
Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Var9	Var10	Var11	Var12	Var13	Var14	Var15	Var16	Var17	Var18	Var19	Var20	Var21	Var22	Var23	Var24	Var25	Var26	Var27	Var28	Var29	Var30	Obj1	Obj2	
0.324308	0.976428	0.578793	0.834988	0.601376	0.0627654	0.36902	0.590126	0.411684	0.535996	0.471852	0.227559	0.380576	0.0554875	0.38194	0.946346	0.738862	0.313025	0.61507	0.656511	0.197843	0.0981816	0.949198	0.80666	0.782204	0.636411	0.80292	0.472915	0.256363	0.837223	0.324308	4.46181	
0.675373	0.608013	0.00012948	0.19407	0.128169	0.920448	0.996313	0.981962	0.477258	0.530264	0.490553	0.464945	0.568483	0.746932	0.780866	0.502107	0.37849	0.0265951	0.0865769	0.0586946	0.77224	0.298063	0.581702	0.183607	0.238996	0.588134	0.121839	0.956168	0.976022	0.618869	0.675373	3.51551	
0.316588	0.647418	0.24757	0.631272	0.965368	0.491848	0.797417	0.816569	0.705757	0.0826858	0.349456	0.704998	0.360435	0.825745	0.184165	0.228766	0.205964	0.768163	0.419595	0.565415	0.244542	0.679271	0.741804	0.351738	0.269152	0.661127	0.263682	0.69601	0.203887	0.22992	0.316588	4.13669	
0.681484	0.120264	0.217049	0.0529652	0.200972	0.655493	0.85979	0.187389	0.837622	0.414792	0.308203	0.30577	0.433806	0.499536	0.789618	0.952244	0.332914	0.159248	0.795874	0.419851	0.815485	0.808681	0.877199	0.510394	0.959389	0.229795	0.0177059	0.0488067	0.783468	0.920017	0.681484	3.56765	
0.335736	0.809456	0.843767	0.928679	0.496401	0.319327	0.332841	0.512799	0.708782	0.899798	0.746851	0.663116	0.162906	0.511414	0.743461	0.655536	0.175095	0.855417	0.887816	0.569895	0.298263	0.862726	0.161443	0.0479311	0.375711	0.804383	0.235633	0.783559	0.511579	0.543679	0.335736	4.67301	
0.912257	0.245183	0.237114	0.400718	0.441594	0.773827	0.260259	0.802066	0.317831	0.674559	0.903343	0.13938	0.580514	0.808534	0.628489	0.0519417	0.884767	0.0765718	0.809473	0.0426419	0.37123	0.453417	0.0818799	0.0491494	0.843093	0.613955	0.511136	0.980756	0.818828	0.131899	0.912257	3.12048	
0.492414	0.561133	0.156196	0.179994	0.0778832	0.176617	0.724092	0.67543	0.0529315	0.528775	0.860779	0.355032	0.0625698	0.709207	0.794014	0.634221	0.960714	0.618367	0.5526	0.744116	0.602793	0.415975	0.885116	0.863848	0.700899	0.899814	0.866584	0.675702	0.637131	0.491722	0.492414	4.37511	
0.189393	0.895155	0.164058	0.704305	0.839098	0.77466	0.376186	0.185519	0.410994	0.312198	0.479983	0.475788	0.537619	0.247083	0.0126863	0.768279	0.647286	0.021646	0.140519	0.793374	0.0878564	0.158607	0.457591	0.805904	0.939246	0.996578	0.642427	0.355135	0.89697	0.119792	0.189393	4.40805	
0.498024	0.0521258	0.574745	0.788101	0.871152	0.847297	0.645192	0.0837084	0.00639609	0.788818	0.848529	0.856024	0.718546	0.175376	0.488354	0.369998	0.799417	0.220679	0.48091	0.0716031	0.648508	0.919769	0.314571	0.607409	0.697582	0.773558	0.994647	0.315656	0.571833	0.994365	0.498024	4.38138	
0.951479	0.733004	0.99848	0.982092	0.0595434	0.605471	0.263153	0.772882	0.827117	0.62231	0.339925	0.302892	0.507756	0.487275	0.0543232	0.396626	0.896276	0.943777	0.396525	0.529144	0.486361	0.845329	0.302833	0.860077	0.139354	0.259215	0.846344	0.652575	0.706356	0.418759	0.951479	3.64167	
0.425774	0.361495	0.533678	0.306132	0.757734	0.65813	0.637426	0.718117	0.200127	0.677955	0.524275	0.246359	0.0137556	0.642306	0.654946	0.198977	0.256177	0.626731	0.741893	0.916577	0.190132	0.570253	0.989807	0.16573	0.620594	0.142587	0.554141	0.185286	0.438979	0.867477	0.425774	3.94241	
0.267743	0.18713	0.948684	0.924375	0.63038	0.0162341	0.234789	0.991837	0.777993	0.0035317	0.502549	0.453646	0.779709	0.473136	0.645666	0.86577	0.0236412	0.575569	0.124265	0.946725	0.0150547	0.0271871	0.108419	0.255426	0.167708	0.142379	0.563671	0.692595	0.0236748	0.800015	0.267743	3.8465	
0.214887	0.741089	0.489761	0.309836	0.511652	0.14565	0.481153	0.543322	0.586215	0.385652	0.918824	0.557617	0.431176	0.20748	0.696012	0.408468	0.903941	0.0466748	0.448098	0.980574	0.628386	0.30447	0.269558	0.509097	0.665852	0.0498397	0.185626	0.213486	0.0365248	0.654197	0.214887	4.08075	
0.674796	0.521011	0.390005	0.363244	0.0342235	0.86631	0.713768	0.634424	0.0877257	0.373058	0.985426	0.00831542	0.978901	0.119541	0.354005	0.00474215	0.23913	0.489619	0.641028	0.754511	0.454083	0.490858	0.103493	0.222168	0.857767	0.2516	0.171781	0.733764	0.67946	0.167577	0.674796	3.1132	
0.582051	0.0301632	0.995246	0.484244	0.434502	0.0765966	0.238647	0.929862	0.0967379	0.499139	0.834508	0.220197	0.273904	0.024292	0.271819	0.368645	0.932528	0.552564	0.635482	0.85639	0.211175	0.871527	0.321356	0.574336	0.776742	0.404995	0.365806	0.189098	0.501618	0.734354	0.582051	3.50504	
0.166972	0.257139	0.7111	0.520288	0.731416	0.893449	0.335694	0.115337	0.0944532	0.0740542	0.668265	0.954824	0.891373	0.917256	0.697067	0.610382	0.868903	0.580508	0.615514	0.625664	0.450381	0.0819619	0.855006	0.996848	0.218662	0.0210133	0.512795	0.837356	0.435566	0.281237	0.166972	4.92583	
0.738233	0.740043	0.574047	0.364258	0.461922	0.568699	0.161088	0.960766	0.574757	0.916615	0.96962	0.222486	0.574244	0.804443	0.390911	0.422492	0.26408	0.543056	0.460474	0.947549	0.438836	0.516517	0.40397	0.0897825	0.942089	0.500883	0.210287	0.738183	0.0828979	0.144581	0.738233	3.60928	
0.19511	0.181081	0.346395	0.305091	0.0386334	0.479461	0.663188	0.822095	0.148408	0.082024	0.817705	0.188309	0.460477	0.6165	0.339513	0.0721975	0.052217	0.649402	0.522141	0.184702	0.259387	0.274738	0.0348455	0.730624	0.558087	0.194602	0.734998	0.0325441	0.00712204	0.0343196	0.19511	3.16191	
0.832543	0.255348	0.961133	0.302053	0.898407	0.886471	0.789527	0.269008	0.0409967	0.311364	0.388442	0.729952	0.9051	0.152204	0.303232	0.932273	0.77208	0.89589	0.0309866	0.403835	0.353713	0.625468	0.24631	0.948422	0.0574926	0.0535456	0.0259665	0.856262	0.848325	0.214851	0.832543	3.34981	
0.932051	0.0288257	0.0513505	0.97206	0.53663	0.285684	0.989396	0.498808	0.0633428	0.365026	0.779696	0.779726	0.24711	0.227531	0.876679	0.642751	0.387895	0.0829543	0.571201	0.611502	0.476029	0.509584	0.490627	0.358893	0.201017	0.748828	0.167712	0.717474	0.14333	0.0263385	0.932051	2.82886	
0.311562	0.0659823	0.914401	0.631889	0.590295	0.58447	0.22855	0.610253	0.676021	0.111444	0.627644	0.464973	0.476161	0.0523456	0.580421	0.520649	0.874242	0.496979	0.591203	0.717624	0.361423	0.898379	0.772932	0.32463	0.430684	0.0982668	0.175992	0.471703	0.5379	0.340399	0.311562	4.11659	
0.998888	0.066647	0.838714	0.96327	0.388519	0.738689	0.138875	0.802624	0.466864	0.303348	0.348438	0.597599	0.52618	0.602204	0.647982	0.513659	0.980052	0.878642	0.251673	0.953113	0.713843	0.79145	0.392564	0.90233	0.242419	0.610473	0.738683	0.97277	0.527225	0.858741	0.998888	3.96073	
0.689694	0.367104	0.00946941	0.326144	0.918551	0.475426	0.00368997	0.137709	0.968323	0.203389	0.126536	0.499081	0.047321	0.858554	0.261857	0.539322	0.984007	0.496256	0.522224	0.647015	0.827816	0.672503	0.715776	0.751446	0.719204	0.275027	0.789914	0.726619	0.770447	0.762978	0.689694	3.78378	
0.10637	0.611136	0.902173	0.803539	0.312602	0.547768	0.456221	0.436169	0.428146	0.602926	0.688571	0.573764	0.579172	0.311039	0.574757	0.659947	0.255299	0.0152616	0.839146	0.791237	0.39265	0.165754	0.973104	0.977692	0.0853148	0.942829	0.717718	0.68323	0.396906	0.172353	0.10637	5.13893	
0.981328	0.623205	0.504008	0.990747	0.851628	0.00959824	0.262337	0.045629	0.308858	0.633982	0.968477	0.832175	0.0109294	0.475122	0.582633	0.485234	0.0404073	0.589041	0.272887	0.321129	0.89847	0.983494	0.854985	0.1174	0.0591265	0.0848437	0.139739	0.731905	0.172017	0.865199	0.981328	2.98525	
0.0960686	0.496715	0.567577	0.469829	0.390822	0.756601	0.0405729	0.188762	0.727334	0.713976	0.380836	0.117414	0.501247	0.625441	0.147162	0.225367	0.20877	0.565246	0.49465	0.178721	0.491204	0.777745	0.390682	0.332317	0.400393	0.722374	0.781082	0.122913	0.450327	0.977586	0.0960686	4.40945	
0.835368	0.772934	0.28857	0.151731	0.565458	0.630909	0.564466	0.947841	0.426915	0.704335	0.440108	0.129089	0.647079	0.188188	0.881682	0.99223	0.629919	0.507871	0.3882	0.292586	0.647301	0.841591	0.216992	0.768303	0.879411	0.00600318	0.137963	0.0440004	0.35243	0.141256	0.835368	3.27798	
