#NSGA2
popsize 100
maxGen 500
numVar 30
numObj 2
numCons 0
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 500
currentGen	1
evaluateCount	100
totalTime	0.400426
firstFrontCount	2
frontCount	13
avgEvalTime	4.93413e-05
#end
Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Var9	Var10	Var11	Var12	Var13	Var14	Var15	Var16	Var17	Var18	Var19	Var20	Var21	Var22	Var23	Var24	Var25	Var26	Var27	Var28	Var29	Var30	Obj1	Obj2	
1	1	0	1	1	0	0	1	1	1	0	1	1	0	1	0	0	1	1	1	1	0	1	1	1	1	1	0	1	0	1	4.27042	
1	0	0	0	0	1	1	0	1	0	0	0	1	1	0	0	0	1	1	1	0	1	1	0	0	0	1	0	1	0	1	2.55063	
1	0	1	1	1	1	1	0	0	0	1	0	1	0	1	0	0	0	1	0	0	1	1	1	1	0	1	1	0	1	1	3.52308	
0	0	1	1	1	0	1	0	0	0	0	1	0	1	0	1	0	1	1	1	0	0	0	1	0	1	1	1	0	0	0	5.34483	
0	1	0	1	1	1	0	0	0	1	0	1	0	0	0	0	1	1	1	0	1	1	0	1	0	0	0	0	0	0	0	4.72414	
0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	1	1	1	0	0	4.41379	
1	0	1	0	1	0	0	1	1	0	1	1	0	0	0	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	4.01985	
0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	3.48276	
0	0	1	0	1	1	0	1	0	0	1	1	1	0	0	1	1	0	0	1	0	1	1	1	0	0	0	1	0	1	0	5.65517	
0	1	0	1	1	1	1	0	1	0	0	1	1	0	1	1	1	1	1	1	0	0	1	0	0	0	1	1	1	0	0	6.58621	
0	1	0	0	1	0	1	1	1	0	1	1	1	1	1	0	0	1	0	0	0	0	1	1	0	0	1	0	1	1	0	5.96552	
0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	1	1	0	1	0	1	1	1	1	1	0	0	1	0	0	5.03448	
0	1	1	1	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	1	0	0	1	0	1	1	1	0	1	0	0	5.03448	
1	1	1	0	1	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	1	1	0	1	1	1	1	0	0	1	1	3.03294	
1	0	0	0	0	0	0	1	0	1	1	1	1	1	0	1	0	1	1	0	0	0	1	1	0	1	1	0	1	0	1	3.03294	
1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	1	0	1	0	1	0	0	0	1	1	1	0	1	1	2.31289	
1	1	1	1	0	1	0	0	1	0	0	1	1	0	1	0	1	1	0	1	1	1	1	0	0	0	1	1	0	1	1	3.77069	
1	1	1	1	1	1	0	0	0	0	0	0	0	1	1	1	1	1	0	0	1	0	1	1	1	0	0	1	1	1	1	3.77069	
0	0	1	0	0	1	0	0	1	0	1	0	1	1	0	0	0	0	0	0	1	0	1	0	1	0	1	1	0	0	0	4.41379	
1	1	0	1	0	1	1	0	1	1	1	1	1	0	0	0	1	1	1	0	1	0	0	0	1	0	0	0	0	0	1	3.03294	
1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	0	0	1	1	1	1	1	0	1	0	1	1	1	1	1	1	5.28523	
1	1	1	1	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	1	2.55063	
0	0	1	1	0	0	1	1	0	0	1	0	0	0	0	1	1	0	1	1	1	0	1	1	1	1	1	1	0	0	0	5.96552	
0	0	1	0	0	0	0	1	0	1	1	1	0	0	0	0	1	0	1	0	1	1	1	1	0	0	0	1	1	0	0	5.03448	
0	0	0	1	0	0	0	1	1	0	1	0	1	1	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	4.10345	
0	0	1	0	0	0	0	0	1	1	1	0	0	1	1	1	0	1	0	0	1	0	0	1	1	1	1	1	1	0	0	5.65517	
1	1	0	0	1	0	1	1	0	0	1	0	1	1	1	0	0	0	1	1	1	0	1	0	0	1	0	1	1	1	1	3.52308	
1	0	1	1	1	0	0	0	1	1	1	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	1	2.31289	
